,Star_name,Distance,Mass,Radius,Luminosity
227,Taurus,14° 11′ 31.41″,85.8,T6,
228,Horologium,−47° 50′ 39.3″,66.2,T9,
229,Eridanus,−19° 35′ 48.06″,69.8,T5 pec,
230,Camelopardalis,64° 34′ 52.72″,35.9,T8.5,15
231,Camelopardalis,64° 34′ 52.72″,35.9,T9.5,10
232,Eridanus,−12° 23′ 42.93″,47,T8,
233,Orion,6° 8′ 14.55″,44.7,T6.5,
234,Camelopardalis,67° 39′ 49.79″,98.2,T6 pec,
235,Columba,−33° 8′ 23.95″,57.4,T7 pec,
236,Mensa,−75° 0′ 24.9″,47,Y1,
237,Orion,−10° 34′ 36.71″,84.8,T5.5,
238,Lepus,−16° 28′ 28.96″,50.6,T6.5,
239,Gemini,24° 29′ 53.5″,25.4,L8,
240,Monoceros,−4° 10′ 24.17″,57.7,T0,
241,Puppis,−49° 20′ 23.9″,95.2,T3.5,
242,Canis Major,−30° 36′ 12.2″,64.9,T6,
243,Auriga,39° 12′ 35.67″,50.2,T6,
244,Orion,9° 51′ 35.0″,51.5,T7,
245,Monoceros,−4° 56′ 24.27″,37.5,T8,
246,Lynx,56° 46′ 25.55″,67.2,T6,
247,Canis Major,−11° 14′ 27.98″,37.2,T6,
248,Pictor,−62° 32′ 39.7″,28,Y1,
249,Auriga,42° 5′ 32.22″,54.1,T3,
250,Canis Major,−29° 17′ 51.9″,23.2,Y0,
251,Gemini,34° 3′ 13.5″,45.7,T9:,
252,Camelopardalis,75° 44′ 39.2″,78.3,T6,
253,Volans,−71° 57′ 44.0″,34.9,Y0,
254,Lynx,56° 28′ 21.12″,47.3,T8,
255,Gemini,27° 25′ 44.68″,51.5,T8.5,
256,Chamaeleon,−76° 34′ 49.54″,39.1,T9,
257,Puppis,−49° 4′ 54.13″,38.8,T8,
258,Chamaeleon,−80° 51′ 41.3″,32,T9.5:,
259,Lynx,40° 21′ 6.2″,63.6,T8,
260,Hydra,−3° 35′ 28.52″,46,T4,
261,Ursa Major,14° 43′ 19.29″,68.2,T5.5,
262,Pyxis,−18° 59′ 47.18″,72.4,T8 pec,
263,Ursa Major,56° 4′ 7.58″,42.1,T8,
264,Ursa Major,47° 35′ 38.2″,51.5,T8,
265,Hydra,4° 9′ 57.59″,64.9,T6.5,
266,Leo,19° 55′ 8.49″,72.1,T6,
267,Hydra,−24° 45′ 58.26″,47.6,T8,
268,Ursa Major,65° 29′ 54.17″,56.8,T6,
269,Hydra,−16° 0′ 2.9″,47.3,T7.5,
270,Antlia,−38° 42′ 37.86″,53.2,T8.5,
271,Hydra,−21° 38′ 59.7″,40.8,T9:,
272,Leo,25° 50′ 21.85″,57.7,T6,
273,Leo,−4° 21′ 49.7″,50.6,T7,
274,Hydra,−20° 40′ 20.44″,102,L7,
275,Ursa Major,63° 2′ 40.97″,32.9,T8,
276,Coma Berenices,16° 26′ 39.98″,34.2,T9,12
277,Coma Berenices,16° 26′ 39.98″,34.2,Y0,6
278,Virgo,−10° 13′ 45.0″,55.4,T6,
279,Virgo,1° 22′ 53.61″,44.4,T9:,
280,Canes Venatici,36° 29′ 24.83″,86.1,L5 pec,
281,Virgo,−17° 58′ 26.5″,32.9,T9:,
282,Ursa Major,60° 34′ 25.99″,56.1,T6.5,
283,Hydra,−23° 40′ 16.71″,33.9,T8,
284,Draco,66° 3′ 28.25″,91,L9,
285,Ursa Major,55° 34′ 21.22″,25.3,Y0 pec,30
286,Libra,−8° 37′ 36.4″,84.8,T8::,
287,Libra,−18° 14′ 21.87″,60,T8 pec,
288,Draco,58° 15′ 9.93″,52.2,T7,
289,Ursa Minor,70° 27′ 36.23″,11.1,T6,
290,Serpens,5° 29′ 29.3″,72.4,T8,
291,Ursa Minor,70° 9′ 30.92″,50.9,T8,
292,Corona Borealis,31° 25′ 37.6″,84.5,T7 p,
293,Libra,−22° 50′ 25.03″,20,Y0.5,
294,Serpens,22° 30′ 5.2″,41.1,T9.5,
295,Scorpius,−34° 20′ 28.61″,55.4,T6.5,
296,Hercules,17° 39′ 35.44″,32.6,T9,
297,Hercules,18° 7′ 14.21″,50.2,T8,
298,Scorpius,−9° 55′ 34.78″,52.2,T6,
299,Hercules,32° 55′ 24.5″,50.2,T6,
300,Triangulum Australe,−68° 47′ 38.6″,16.3,Y0,
301,Draco,56° 32′ 8.44″,28,T6,
302,Hercules,44° 44′ 22.71″,39.5,T8,
303,Hercules,35° 0′ 36.73″,60.3,T8,
304,Draco,61° 28′ 58.82″,72.7,T8,
305,Ophiuchus,11° 17′ 39.4″,62.3,T6,
306,Draco,57° 16′ 42.9″,97.8,T6,
307,Hercules,27° 32′ 58.78″,20,Y0,
308,Hercules,25° 53′ 18.96″,18.9,T9,
309,Ophiuchus,−3° 38′ 18″,83.8,T6,
310,Ophiuchus,1° 34′ 53.1″,28.7,T7.5,57
311,Hercules,31° 17′ 5.98″,30,T9.5:,
312,Hercules,38° 38′ 5.4″,74.4,T8,
313,Hercules,27° 21′ 44.26″,47,T8.5:,
314,Lyra,26° 50′ 37.79″,36,Y2,
315,Lyra,45° 42′ 57.55″,107,L9,
316,Draco,70° 0′ 38.54″,131.1,T5,
317,Lyra,35° 37′ 16.06″,55.4,T7,
318,Lyra,45° 8′ 6.88″,51.5,T6,
319,Vulpecula,23° 56′ 4.9″,22.8,T6,
320,Draco,72° 40′ 0.61″,44.4,T4,
321,Sagittarius,33° 38′ 34.03″,37.2,T8,
322,Delphinus,7° 49′ 34.4″,34.2,T1.5,
323,Aquila,4° 24′ 8.5″,96.2,T7 p,
324,Draco,66° 46′ 45.1″,50.6,T8,
325,Pavo,−74° 23′ 27.99″,47.9,T7,
326,Capricornus,−11° 48′ 7.6″,42.4,T8.5:,
327,Delphinus,14° 59′ 53.68″,24.5,Y0,
328,Indus,−71° 37′ 44.56″,42.7,T9 pec,
329,Pegasus,26° 59′ 31.25″,61.6,T7,
330,Piscis Austrinus,−27° 34′ 39.94″,46,T7,
331,Pegasus,9° 11′ 39.47″,58.7,T7,
332,Grus,−36° 28′ 17.4″,26.4,Y0,
333,Pegasus,4° 40′ 3.06″,45,T8,
334,Aquarius,−6° 14′ 34.36″,53.5,T5,
335,Cepheus,72° 28′ 33.8″,46,T6,
336,Pegasus,16° 17′ 16″,59.7,T3,
337,Piscis Austrinus,−31° 18′ 42.11″,44.7,T8,
338,Pisces,2° 16′ 35.1″,60.7,T6.5,
339,Octans,−80° 37′ 0.7″,35.9,T8,
340,Aquarius,−18° 44′ 4.15″,52.2,T7.5,
341,Grus,−41° 5′ 34.92″,37.5,T9 pec,
342,Sculptor,−27° 30′ 56.66″,70.8,L9,
343,Andromeda,42° 22′ 55.2″,90.3,T7,
344,Aquarius,−7° 45′ 8.46″,37.8,T7,
345,Pegasus,8° 56′ 20.2″,51.2,T6.5,
346,Octans,−74° 18′ 46.86″,48.6,T6,
347,Pegasus,10° 34′ 16.1″,46,T9,
348,Aquarius,−10° 28′ 44.11″,54.1,T7,
349,Pegasus,12° 27′ 41.8″,54.8,T6,
350,Tucana,−73° 35′ 5.09″,42.7,T5.5,
351,Ursa Major,+54° 00′ 52.8″,111,T5.5,
352,Libra,−28° 18′ 18.3″,120,M9γ+M9γ,40 + 39 + ?
